buis,"[1000.0, 145]"
global,"[0.021126925230842586, 1072]"
peninsula,"[0.0210669846376485, 53]"
secretary,"[0.02102933592938178, 251]"
wet,"[0.0210146533738259, 70]"
pulse,"[0.02101407677698089, 65]"
rain,"[0.02096256591799331, 202]"
continental,"[0.020882283343336503, 54]"
adaptation,"[0.02085353033789155, 98]"
flight,"[0.02084843567285889, 498]"
intergovernmental,"[0.02080964930906406, 108]"
cooperation,"[0.02074660430221119, 72]"
cycle,"[0.020741058690728228, 294]"
dense,"[0.020719691816439418, 59]"
spin,"[0.02058237050563501, 69]"
imagery,"[0.020548984030336354, 102]"
monitoring,"[0.020546966285947054, 66]"
simulate,"[0.02052666132875813, 60]"
letters,"[0.02050341532194964, 68]"
heat,"[0.02047339794881386, 368]"
aerospace,"[0.020394701899238196, 96]"
fish,"[0.02038660632346607, 100]"
paris,"[0.0203742401596658, 110]"
california,"[0.02032477801526014, 567]"
jet,"[0.02025611190796718, 557]"
md.,"[0.02024754912406322, 115]"
hole,"[0.020215608361334066, 86]"
preserve,"[0.0201904239067034, 55]"
behavior,"[0.02010005036791485, 65]"
mobilize,"[0.020016310219456223, 68]"
energy,"[0.01997771697191997, 423]"
composition,"[0.01991087359271009, 68]"
rocket,"[0.019880234245067, 75]"
forecast,"[0.019841741257032766, 242]"
safeguard,"[0.019796191870543316, 56]"
mile,"[0.01976358751170374, 394]"
download,"[0.01975344496836968, 56]"
study,"[0.019721852434035316, 750]"
continent,"[0.019637429776940673, 116]"
convention,"[0.019524767736873266, 80]"
action,"[0.019497107287433542, 358]"
organic,"[0.01948054244419403, 64]"
animal,"[0.01946905389229172, 126]"
gender,"[0.019451024267608346, 56]"
dr.,"[0.019397369721399074, 95]"
oxygen,"[0.01938580205951844, 67]"
oceanic,"[0.0193437025903905, 176]"
hampton,"[0.0193375725877238, 84]"
modern,"[0.019327755427925725, 89]"
ton,"[0.019279649860862353, 85]"
peace,"[0.01918767418748076, 64]"
percent,"[0.019172715134214553, 388]"
poverty,"[0.01916511513893325, 76]"
greenbelt,"[0.01912047901082133, 299]"
scenario,"[0.019093873463465468, 72]"
ship,"[0.019090271744052697, 103]"
food,"[0.019070492511676355, 295]"
extreme,"[0.019018675064823527, 256]"
2020,"[0.01900905050034708, 156]"
india,"[0.018979482517904923, 90]"
data,"[0.018957331625027052, 167]"
combat,"[0.018807549178904648, 74]"
participant,"[0.01874479933770489, 63]"
framework,"[0.01872538528243525, 96]"
frequency,"[0.01871375485097945, 92]"
mass,"[0.018679321291218395, 167]"
exploration,"[0.01866224128880991, 75]"
variation,"[0.018652024477253146, 147]"
dry,"[0.01864559319004684, 188]"
scientific,"[0.018615925516280867, 322]"
child,"[0.018581325559231997, 112]"
venture,"[0.01856721815472412, 52]"
stream,"[0.018557738144769412, 121]"
destruction,"[0.018540074700516686, 56]"
cool,"[0.01853078585744, 245]"
core,"[0.018516287463626498, 67]"
burn,"[0.018506018685623165, 188]"
vertical,"[0.018429234672650834, 63]"
gas,"[0.01842049214671827, 475]"
unusually,"[0.01838661186503742, 59]"
density,"[0.018372770134011607, 54]"
underscore,"[0.01837152054650671, 70]"
sun,"[0.018334405751182347, 205]"
adapt,"[0.018274757266313186, 120]"
asia,"[0.018257521456839423, 131]"
passive,"[0.01825456129895086, 59]"
flow,"[0.018248234167594295, 204]"
media,"[0.01824421367180525, 68]"
winter,"[0.01823418510776426, 186]"
initiative,"[0.018234124118812815, 137]"
projection,"[0.018140355495926526, 88]"
colorado,"[0.018109845903221903, 143]"
change,"[0.01808460270210983, 1343]"
fleet,"[0.01807444000003002, 56]"
video,"[0.018066173151901642, 126]"
launch,"[0.018055995684156407, 505]"
historical,"[0.018043193743376033, 51]"
seasonal,"[0.01802626831837441, 126]"
student,"[0.017989495444450332, 106]"
voice,"[0.017968060036611843, 56]"
researcher,"[0.017957352104111843, 466]"
scientists,"[0.01795029576100411, 250]"
annually,"[0.017855401350059856, 74]"
chemical,"[0.017853554802511044, 119]"
awareness,"[0.017846160477960945, 65]"
2019,"[0.01784398489070859, 156]"
mexico,"[0.017774789739893705, 67]"
p.m.,"[0.017755147927102047, 59]"
efficient,"[0.017748104433484287, 84]"
implementation,"[0.017682974287088645, 75]"
coast,"[0.01764667094420166, 210]"
2017,"[0.01764496030382048, 176]"
harmful,"[0.01761967776229363, 106]"
visible,"[0.0176178093925441, 126]"
fuel,"[0.01761286828464197, 285]"
reduction,"[0.017561790771331416, 142]"
wave,"[0.017559936936799542, 158]"
thick,"[0.017539892855489934, 114]"
cole,"[0.017535221056747822, 60]"
1.5,"[0.017522862431215588, 134]"
assistance,"[0.01752278672329262, 58]"
inch,"[0.01751430532204989, 131]"
geneva,"[0.01748084775615723, 51]"
thin,"[0.017469290136051464, 129]"
disease,"[0.017456120269557247, 82]"
chemistry,"[0.01742415181991932, 67]"
institute,"[0.01741157104377721, 261]"
technique,"[0.017408484053108117, 146]"
formation,"[0.01740192974711678, 82]"
severe,"[0.017373654261322428, 148]"
northwest,"[0.01735891274182003, 65]"
beneath,"[0.017355551853762478, 82]"
2012,"[0.01732708965719872, 169]"
campaign,"[0.017290628271685766, 229]"
southeast,"[0.017232170002298805, 66]"
phase,"[0.017185437296775716, 101]"
quantify,"[0.017181596582325702, 104]"
aboard,"[0.01714197989962054, 139]"
mitigate,"[0.01711227110065522, 94]"
pattern,"[0.017094265535119734, 319]"
japan,"[0.017061317871796378, 85]"
crisis,"[0.017033736436580772, 174]"
deadly,"[0.01701170186631092, 68]"
pole,"[0.01696197456139751, 113]"
camera,"[0.016955604507823047, 74]"
variable,"[0.01692228564426426, 61]"
innovation,"[0.016914913184933895, 67]"
southern,"[0.016884785537666678, 226]"
maryland,"[0.01685644703999681, 232]"
extensive,"[0.016855442037648934, 77]"
efficiency,"[0.0167985792136974, 59]"
zero,"[0.016685189526003365, 75]"
acquire,"[0.016645531289479612, 88]"
indicator,"[0.016590088807099914, 78]"
monitor,"[0.01658636787510868, 383]"
liquid,"[0.01657660983245778, 61]"
fly,"[0.01656562198482554, 280]"
danger,"[0.01655448511771217, 63]"
transport,"[0.016553838360241442, 163]"
2016,"[0.016538261109688188, 189]"
trillion,"[0.0165312299651661, 62]"
bay,"[0.016512064976954774, 70]"
pace,"[0.01643654247799183, 73]"
development,"[0.016428356491340074, 429]"
quality,"[0.01642735007640473, 209]"
validate,"[0.01641847489372307, 69]"
detect,"[0.01640894665679352, 193]"
freeze,"[0.01640118346759946, 137]"
float,"[0.01639412622175706, 98]"
education,"[0.016386722138654806, 91]"
australia,"[0.01636099399045831, 83]"
accumulate,"[0.016333391780275264, 64]"
depth,"[0.01632361202948765, 112]"
commitment,"[0.016320469037649027, 166]"
environment,"[0.016311273192860225, 373]"
solution,"[0.016293984266062617, 175]"
prediction,"[0.016247830523568266, 170]"
april,"[0.016244765668980244, 138]"
globally,"[0.016239825840925533, 160]"
band,"[0.016204512971551368, 61]"
observe,"[0.016203787972167052, 482]"
diversity,"[0.016189216539487312, 54]"
finance,"[0.016107500729139648, 101]"
virginia,"[0.016077677292014647, 125]"
land,"[0.016043512737107208, 605]"
precision,"[0.016036777204361828, 61]"
record,"[0.01601412793821207, 527]"
february,"[0.01600683003709181, 110]"
page,"[0.016001703851136036, 51]"
understanding,"[0.0159938470501905, 51]"
august,"[0.015974522644586875, 166]"
hazard,"[0.015963701162911525, 82]"
inside,"[0.01596364560780266, 76]"
environmental,"[0.01594234217847498, 345]"
2013,"[0.015937444834622647, 125]"
decrease,"[0.0159217243380674, 162]"
restore,"[0.0159193478877606, 58]"
cold,"[0.015915584155413984, 187]"
trend,"[0.015897189519052876, 258]"
innovative,"[0.015895022903939748, 92]"
nations,"[0.01587176738587116, 267]"
accelerate,"[0.015868362754114792, 161]"
adopt,"[0.01586219170490929, 99]"
bridge,"[0.01583701546833167, 58]"
landmark,"[0.015823010398110272, 54]"
trap,"[0.015795190806348305, 128]"
resolution,"[0.01578149801451481, 279]"
