buis,"[1000.0, 145]"
annual,"[0.011144279476493917, 150]"
worldwide,"[0.011132060598372368, 116]"
feature,"[0.011122597944639014, 143]"
low,"[0.011116997396077752, 383]"
budget,"[0.011106553331860433, 63]"
institution,"[0.011088895801349079, 96]"
host,"[0.0110782755316212, 58]"
suite,"[0.011064585618665508, 85]"
shift,"[0.011029282180370156, 126]"
balance,"[0.011005015600434584, 100]"
variety,"[0.010976500165142913, 87]"
zone,"[0.010948293908284529, 61]"
27,"[0.010944758560431107, 51]"
regional,"[0.010938614350227478, 188]"
gap,"[0.010921782345818153, 97]"
foot,"[0.010920563462273148, 239]"
steve,"[0.010884342212861692, 78]"
discover,"[0.010863449075008446, 103]"
link,"[0.010849259463036916, 159]"
amount,"[0.010840307468926029, 114]"
implication,"[0.010836794297065785, 64]"
previous,"[0.01083119738972431, 206]"
sound,"[0.010821121873929994, 57]"
clean,"[0.010817842482716737, 63]"
demonstrate,"[0.010813165054280814, 105]"
central,"[0.010780545686628385, 138]"
develop,"[0.010778049433949994, 151]"
movement,"[0.010756867735721645, 110]"
28,"[0.010756101641620833, 51]"
potentially,"[0.010753719687882466, 76]"
extra,"[0.010748405128966397, 63]"
assess,"[0.010739517742294423, 104]"
function,"[0.01072699314133982, 56]"
joint,"[0.010723327562658152, 123]"
obtain,"[0.010719973465626498, 53]"
blow,"[0.010716549341980127, 61]"
influence,"[0.010710092124683355, 190]"
24,"[0.010703314340103354, 58]"
aim,"[0.010692600277036576, 67]"
commercial,"[0.010687702080124064, 70]"
nature,"[0.010659847442524148, 139]"
december,"[0.010657482039904156, 103]"
project,"[0.01064521348447547, 436]"
type,"[0.010642007085372196, 219]"
indicate,"[0.010636884474016145, 115]"
primary,"[0.010636545064925104, 96]"
daily,"[0.01062627840450165, 75]"
vast,"[0.010613948390850664, 84]"
manage,"[0.01060168639216196, 237]"
answer,"[0.010587384765521396, 157]"
affect,"[0.010574508306750595, 364]"
read,"[0.010571804104610503, 75]"
unique,"[0.010569092783297639, 172]"
examine,"[0.010560902150196548, 87]"
deputy,"[0.010548609972792602, 73]"
develope,"[0.010544627163314904, 304]"
ready,"[0.010541874353847671, 56]"
contribution,"[0.010524215677430431, 128]"
nation,"[0.010518591358511378, 87]"
closely,"[0.010510098760880203, 65]"
19,"[0.010473384217785401, 57]"
location,"[0.010470243384839682, 194]"
typically,"[0.01046678829430931, 118]"
aspect,"[0.010465855959605584, 55]"
risk,"[0.010424973944257163, 118]"
size,"[0.01042043729948222, 193]"
factor,"[0.010401699614277829, 188]"
slowly,"[0.010396032610378712, 58]"
contrast,"[0.01039371139679806, 52]"
slow,"[0.010382256414633072, 125]"
professor,"[0.010381818738025784, 122]"
extend,"[0.010375352221185337, 148]"
exactly,"[0.010360233554546123, 56]"
shape,"[0.010360223729471332, 106]"
decade,"[0.010353148884233944, 404]"
design,"[0.010316974160936104, 214]"
crucial,"[0.010301136135574627, 52]"
fully,"[0.010297142624299226, 63]"
multiple,"[0.010284128156415539, 114]"
critical,"[0.01027809565388506, 231]"
white,"[0.010277450979988632, 64]"
period,"[0.0102727745440023, 249]"
rate,"[0.010242756603945429, 244]"
product,"[0.010225805705215248, 125]"
south,"[0.010225156739708512, 223]"
heavy,"[0.010210440530767311, 84]"
dramatically,"[0.010194662548653935, 51]"
development,"[0.010192124460997397, 156]"
additional,"[0.010183766552062703, 143]"
future,"[0.01018238929422092, 444]"
stretch,"[0.010176876359669055, 65]"
washington,"[0.010175863136567771, 239]"
tiny,"[0.010157253302899098, 90]"
miss,"[0.010150525174544778, 51]"
physical,"[0.010149692978045846, 74]"
process,"[0.010142413243780879, 394]"
cause,"[0.010141140900019026, 440]"
online,"[0.010123015582342012, 85]"
difference,"[0.010111879999601872, 167]"
part,"[0.010111727995082326, 193]"
track,"[0.010111211047510331, 311]"
improve,"[0.010099008628930616, 389]"
slightly,"[0.01008967895382266, 84]"
